ma_bn,ho_ten,ngay_sinh,gioi_tinh,dia_chi,sdt,cccd,bhyt,tien_su_benh_an,di_ung_thuoc,thoi_diem_dang_ky_he_thong,lich_su_kham_benh
BN0001,Nguyễn Thị An,1988-07-15,Nữ,"15 Trần Phú, Quận Ba Đình, Hà Nội","0912345678","001088001111","HN789012345","Viêm mũi dị ứng","Không có","2025-05-25 08:30:00","2025-05-28;Khám tai mũi họng;Viêm mũi cấp;Theo dõi thêm;BS004;PK002"
BN0002,Trần Văn Bình,1975-03-22,Nam,"23 Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội","0987654321","001075002222","TQ654321098","Tăng huyết áp","Aspirin","2025-05-25 09:15:30","2025-05-29;Khám tim mạch;Huyết áp 140/90;Điều chỉnh thuốc;BS008;PK001"
BN0003,Lê Hoàng Cường,1995-11-01,Nam,"110 Võ Thị Sáu, Quận 3, TP.HCM","0903123456","079195003333","TP321098765","Đau dạ dày","Penicillin","2025-05-25 10:05:45",""
BN0004,Phạm Ngọc Dung,2001-01-30,Nữ,"78 Nguyễn Huệ, Quận 1, TP.HCM","0933654987","079201004444","BH098765432","Hen suyễn","Không rõ","2025-05-25 11:20:10","2025-05-30;Khám hô hấp;Hen ổn định;Xịt Ventolin khi cần;BS001;PK003"
BN0005,Hoàng Minh Em,1969-09-10,Nam,"305 Hàng Bài, Quận Hoàn Kiếm, Hà Nội","0918001122","001069005555","HN112233445","Gout","Sulfonamide","2025-05-25 14:00:00",""
BN0006,Vũ Thị Phương,1982-06-05,Nữ,"42 Lê Lợi, Quận Hải Châu, Đà Nẵng","0977112233","048082006666","DN223344556","Không có tiền sử đáng kể","Không có","2025-05-26 08:00:55","2025-05-28;Khám tổng quát;Sức khỏe tốt;Không có;BS001;PK001"
BN0007,Đặng Văn Giang,1990-12-18,Nam,"55 Điện Biên Phủ, Quận Bình Thạnh, TP.HCM","0908887766","079190007777","TP445566778","Thoái hóa cột sống","Ibuprofen","2025-05-26 09:30:15",""
BN0008,Bùi Thu Hà,1978-02-25,Nữ,"66 Cách Mạng Tháng Tám, Quận 10, TP.HCM","0912998877","079078008888","BH556677889","Tiểu đường type 2","Không có","2025-05-26 10:45:30","2025-05-29;Tái khám tiểu đường;Đường huyết 7.2;Tăng liều Metformin;BS001;PK001"
BN0009,Hồ Quang Hùng,1999-08-03,Nam,"123 Nguyễn Văn Cừ, Quận Long Biên, Hà Nội","0988110022","001199009999","HN667788990","Viêm da cơ địa","Paracetamol","2025-05-26 13:15:00","2025-05-30;Khám da liễu;Viêm da ổn;Bôi thuốc Corticoid;BS005;PK004"
BN0010,Ngô Thị Lan Anh,1985-05-12,Nữ,"21 Trần Hưng Đạo, Quận Ninh Kiều, Cần Thơ","0903221133","092085010101","CT778899001","Rối loạn tiền đình","Không rõ","2025-05-26 14:50:40",""
